book,event,match_status,match_idx,chunk_preview,vz_hit,fz_hit,v_peak_idx,v_peak_z,v_peak_dist,f_peak_idx,f_peak_z,f_peak_dist,decision,winner_exact,winner_peak,v_exact_recognised,f_exact_recognised,v_peak_recognised,f_peak_recognised,v_roll_hit,a_roll_hit,d_roll_hit,fused_hit
Pride and Prejudice.clean,Meryton ball — Darcy’s slight,FOUND,130.0,"draw from her husband any satisfactory description of Mr. Bingley. They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they  …",1.8875007610383208,1.5225459475501844,134.0,2.553385774547998,4.0,134.0,2.239832748464643,4.0,EXACT,V-only > VAD,n/a,True,True,False,False,0.1652874666666667,-0.0611106,0.056527733333333344,0.18506711405662785
Pride and Prejudice.clean,First proposal at Hunsford,FOUND,11.0,"be traced the distinct superiority in point of construction, which, as it seems to me, it possesses over all the others. The plot, though not elaborate, is almost regular enough for Fielding; hardly a character, hardly a …",-0.4715411915357825,-0.2906869407602063,3.0,0.6010988840473248,-8.0,3.0,0.8463039612099242,-8.0,PEAK,n/a,Tie (±0.30),False,False,False,True,0.10071413333333333,-0.05441613333333333,0.07309706666666665,0.1358220651267925
Pride and Prejudice.clean,Darcy’s letter & revelation,FOUND,834.0,"I could bear, and that scenes might arise unpleasant to more than myself."" She highly approved his forbearance; and they had leisure for a full discussion of it, and for all the commendations which they civilly bestowed  …",-0.7300542928903903,-0.9949156625173451,826.0,-1.0421828697188427,-8.0,834.0,-0.9949156625173451,0.0,EXACT,Tie (±0.30),n/a,False,True,False,False,0.09363793333333333,-0.05873726666666666,0.03741466666666667,0.11669612819706858
Pride and Prejudice.clean,Pemberley encounter,FOUND,70.0,"is not extremely probable. Here again I cannot go with the objectors. Darcy's own account of the way in which his pride had been pampered, is perfectly rational and sufficient; and nothing could be, psychologically speak …",-0.17851194053025585,-0.37219414478688184,69.0,-0.43923649149557686,-1.0,69.0,-0.6472367068825182,-1.0,NEITHER,n/a,n/a,False,False,False,False,0.10873513333333333,-0.06088400000000001,0.048177000000000005,0.13360843538496278
Pride and Prejudice.clean,Lydia’s elopement,NOT FOUND,,,,,,,,,,,n/a,n/a,n/a,False,False,False,False,,,,
Pride and Prejudice.clean,Bingley & Jane engaged,FOUND,146.0,"his friend to join it. ""Come, Darcy,"" said he, ""I must have you dance. I hate to see you standing about by yourself in this stupid manner. You had much better dance."" ""I certainly shall not. You know how I detest it, unl …",0.7447780140114808,0.3568383465924426,138.0,1.4996105509053834,-8.0,138.0,1.1560483238097745,-8.0,PEAK,n/a,V-only > VAD,False,False,True,True,0.13400806666666665,-0.058620066666666665,0.0462552,0.15340801046484573
Pride and Prejudice.clean,Second proposal (resolution),FOUND,2449.0,"he replied, ""let it be for yourself alone. That the wish of giving happiness to you might add force to the other inducements which led me on, I shall not attempt to deny. But your _family_ owe me nothing. Much as I respe …",-0.2011744280056864,-0.37137796500048614,2441.0,-1.6375596605080793,-8.0,2441.0,-1.93815648181483,-8.0,PEAK,n/a,VAD > V,False,False,True,True,0.1081148,-0.0651408,0.043874866666666665,0.1336306017673264
