book,event,match_status,match_idx,chunk_preview,vz_hit,fz_hit,v_peak_idx,v_peak_z,v_peak_dist,f_peak_idx,f_peak_z,f_peak_dist,decision,winner_exact,winner_peak,v_exact_recognised,f_exact_recognised,v_peak_recognised,f_peak_recognised,v_roll_hit,a_roll_hit,d_roll_hit,fused_hit
Frankenstein.clean,Animation of the Creature,FOUND,315,"if I had been guilty of a crime. Sometimes I grew alarmed at the wreck I perceived that I had become; the energy of my purpose alone sustained me: my labours would soon end, and I believed that exercise and amusement wou …",-0.8288818785554789,-0.6235678115094743,319,-1.537237941473502,4,322,-1.0831537199190975,7,EXACT,Tie (±0.30),n/a,True,False,False,False,0.048550133333333335,-0.05691693333333334,-0.006876933333333333,0.07512619356008042
Frankenstein.clean,William’s murder announced,FOUND,428,"on my long absent son? I wish to prepare you for the woeful news, but I know it is impossible; even now your eye skims over the page to seek the words which are to convey to you the horrible tidings. ""William is dead!—th …",0.5135410630273932,0.2298182665232155,421,2.1113543551475846,-7,421,1.7356684920085963,-7,PEAK,n/a,V-only > VAD,False,False,True,True,0.10848066666666667,-0.03164153333333333,0.034591666666666666,0.11817709200562801
Frankenstein.clean,Justine’s trial / execution,FOUND,28,"sustain me in dejection. I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of feeling. I desire the company of a man who could sympathise with me, whose eyes would reply to  …",1.3382244790880151,1.4366063431688723,35,1.901342707896537,7,36,2.0455336174284455,8,EXACT,Tie (±0.30),n/a,True,True,False,False,0.14529746666666668,-0.07209093333333333,0.07584613333333334,0.17905611531092705
Frankenstein.clean,Creature demands a mate,FOUND,954,"deny herself to me. My companion must be of the same species and have the same defects. This being you must create."" Chapter 17 The being finished speaking and fixed his looks upon me in the expectation of a reply. But I …",-1.011191132603169,-1.1207529249222732,956,-1.012900972515726,2,950,-1.1515637666177625,-4,EXACT,Tie (±0.30),n/a,True,True,False,False,0.0404112,-0.010333466666666668,0.027651733333333334,0.0500446198419859
Frankenstein.clean,Victor destroys the female,FOUND,1119,"he had allotted to me. Yes, he had followed me in my travels; he had loitered in forests, hid himself in caves, or taken refuge in wide and desert heaths; and he now came to mark my progress and claim the fulfilment of m …",-1.0703814597769865,-0.8772424295560064,1127,-1.7565872559500681,8,1127,-1.5412043069489434,8,EXACT,Tie (±0.30),n/a,True,True,False,False,0.03776873333333332,-0.0354006,0.0347164,0.062329031172676214
Frankenstein.clean,Elizabeth murdered (wedding night),FOUND,1137,"course towards the mainland. I shuddered to think who might be the next victim sacrificed to his insatiate revenge. And then I thought again of his words—""_I will be with you on your wedding-night._"" That, then, was the  …",-1.8715661501921963,-1.6886197276936186,1133,-2.136813839823654,-4,1133,-3.077658258107278,-4,EXACT,Tie (±0.30),n/a,True,True,False,False,0.0020009999999999937,0.015027200000000003,0.015100533333333338,0.021397356093478263
Frankenstein.clean,Arctic pursuit & endgame,FOUND,0,Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6 Chapter 7 Chapter 8 Chapter 9 Chapter 10 Chapter 11 Chapter 12 Chapter 13 Chapter 14 Chapter 15 Chapter 16 Chapter 17 Chapter 18 Chapter 19 Chapter 20 Chapter 2 …,2.662274108160736,2.4551446999065165,0,2.662274108160736,0,0,2.4551446999065165,0,EXACT,Tie (±0.30),n/a,True,True,False,False,0.20440775,-0.089083125,0.058168375,0.2304384761058117
