book,event,match_status,match_idx,chunk_preview,vz_hit,fz_hit,v_peak_idx,v_peak_z,v_peak_dist,f_peak_idx,f_peak_z,f_peak_dist,decision,winner_exact,winner_peak,v_exact_recognised,f_exact_recognised,v_peak_recognised,f_peak_recognised,v_roll_hit,a_roll_hit,d_roll_hit,fused_hit
Mobi Dick.clean,Ahab nails the doubloon / vow,FOUND,1,The Ramadan. CHAPTER 18. His Mark. CHAPTER 19. The Prophet. CHAPTER 20. All Astir. CHAPTER 21. Going Aboard. CHAPTER 22. Merry Christmas. CHAPTER 23. The Lee Shore. CHAPTER 24. The Advocate. CHAPTER 25. Postscript. CHAPT …,1.623658015637877,4.334583291298206,0,1.7958128475124204,-1,0,4.414655408888075,-1,EXACT,VAD > V,n/a,True,True,False,False,0.10876744444444444,-0.2168591111111111,-0.03042011111111111,0.24450687966372006
Mobi Dick.clean,Ahab declares vengeance on Moby Dick,FOUND,1252,"as though uncorking a bottle—""like him—him—"" ""Corkscrew!"" cried Ahab, ""aye, Queequeg, the harpoons lie all twisted and wrenched in him; aye, Daggoo, his spout is a big one, like a whole shock of wheat, and white as a pil …",-0.13506342133484175,-1.229152089062428,1259,-1.0507445547541412,7,1256,-1.7449313296034696,4,EXACT,VAD > V,n/a,False,True,False,False,0.0622346,-0.02211873333333333,0.016687800000000006,0.06812390527759776
Mobi Dick.clean,Typhoon / St. Elmo’s fire,FOUND,8,Stowing Down and Clearing Up. CHAPTER 99. The Doubloon. CHAPTER 100. Leg and Arm. CHAPTER 101. The Decanter. CHAPTER 102. A Bower in the Arsacides. CHAPTER 103. Measurement of The Whale's Skeleton. CHAPTER 104. The Fossi …,0.8519953400250045,2.8394870678584594,0,1.7958128475124204,-8,0,4.414655408888075,-8,EXACT,VAD > V,n/a,True,True,False,False,0.08835053333333334,-0.17539813333333332,-0.016781466666666668,0.1971089534764635
Mobi Dick.clean,The Symphony (Ahab & Starbuck),FOUND,8,Stowing Down and Clearing Up. CHAPTER 99. The Doubloon. CHAPTER 100. Leg and Arm. CHAPTER 101. The Decanter. CHAPTER 102. A Bower in the Arsacides. CHAPTER 103. Measurement of The Whale's Skeleton. CHAPTER 104. The Fossi …,0.8519953400250045,2.8394870678584594,0,1.7958128475124204,-8,0,4.414655408888075,-8,EXACT,VAD > V,n/a,True,True,False,False,0.08835053333333334,-0.17539813333333332,-0.016781466666666668,0.1971089534764635
Mobi Dick.clean,The Chase—First Day,FOUND,10,The Deck Towards the End of the First Night Watch. CHAPTER 121. Midnight.—The Forecastle Bulwarks. CHAPTER 122. Midnight Aloft.—Thunder and Lightning. CHAPTER 123. The Musket. CHAPTER 124. The Needle. CHAPTER 125. The Lo …,0.6081251374743926,2.325939998159802,4,1.5526428023454566,-6,2,4.310914169024377,-8,EXACT,VAD > V,n/a,False,True,False,False,0.08189813333333333,-0.16028726666666668,-0.0173084,0.18082835178565212
Mobi Dick.clean,The Chase—Third Day (Ahab’s death),FOUND,10,The Deck Towards the End of the First Night Watch. CHAPTER 121. Midnight.—The Forecastle Bulwarks. CHAPTER 122. Midnight Aloft.—Thunder and Lightning. CHAPTER 123. The Musket. CHAPTER 124. The Needle. CHAPTER 125. The Lo …,0.6081251374743926,2.325939998159802,4,1.5526428023454566,-6,2,4.310914169024377,-8,EXACT,VAD > V,n/a,False,True,False,False,0.08189813333333333,-0.16028726666666668,-0.0173084,0.18082835178565212
